timestamp,model,provider,operation,namespace,cost_usd_cumulative
1787752500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787752800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787753100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787753400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787753700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787754000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787754300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787754600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787754900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787755200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787755500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787755800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787756100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787756400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787756700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787757000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787757300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787757600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787757900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787758200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787758500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787758800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787759100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787759400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787759700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787760000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787760300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787760600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787760900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787761200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787761500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787761800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787762100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787762400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787762700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787763000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787763300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787763600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787763900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787764200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787764500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787764800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787765100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787765400,meu-assistente,ollama,chat,suse-ai,0.0001326
